--- scanner 0 ---
-757,414,492
-593,762,-478
-608,779,-508
-761,323,468
-583,-536,626
539,660,453
745,-932,544
419,509,439
62,-24,118
338,-793,-584
-775,808,-521
708,771,-798
-90,-99,12
400,-811,-639
850,-816,468
715,652,-760
-820,276,460
737,-883,437
716,659,-718
-619,-458,-521
-551,-451,-643
477,574,399
-653,-464,-508
-596,-505,704
438,-706,-637
-589,-621,598

--- scanner 1 ---
-386,481,-530
568,822,748
56,78,41
-653,837,672
-825,-465,-698
-842,-495,-683
517,-321,717
401,-495,-638
442,717,-695
-661,-765,361
558,611,-702
-871,-508,-516
-339,473,-471
-709,-772,450
441,-376,741
-477,505,-534
388,-630,-740
473,639,-708
-528,845,807
-610,763,777
583,809,645
502,-587,734
395,-508,-672
-37,-6,-116
-623,-735,471
505,810,757

--- scanner 2 ---
-695,364,-810
-642,483,453
745,-960,-441
743,235,-394
15,-139,-14
-452,-639,536
635,652,646
810,-702,549
700,-762,505
-453,-534,569
621,-860,-431
695,501,604
-510,489,384
-706,370,-596
-536,388,405
-628,402,-625
633,540,465
802,-735,390
606,-923,-539
578,271,-459
105,-2,-130
-517,-596,-542
-571,-576,-529
-486,-440,473
654,315,-514
-443,-634,-618

--- scanner 3 ---
812,-526,-776
447,879,691
-2,88,14
-853,-613,-699
868,-612,-712
-746,793,-620
-860,-681,-577
491,-498,660
-529,-701,302
502,814,567
-540,613,383
445,628,-447
355,810,596
403,-351,685
-807,800,-831
-33,-43,-159
-731,776,-886
583,616,-432
-582,553,534
-602,-816,250
471,485,-398
872,-622,-827
-568,-778,372
377,-461,620
-721,615,495
-847,-579,-712

--- scanner 4 ---
-383,-542,-722
703,879,-598
587,-459,579
-424,322,707
-398,371,564
113,1,1
629,-610,639
-400,-767,313
-455,-643,378
777,869,-619
-308,-672,382
793,544,399
-536,356,576
828,-723,-592
-389,-498,-592
768,-571,577
854,755,392
-621,489,-516
-611,512,-432
849,-622,-566
-443,-593,-655
753,753,-624
778,810,416
780,-628,-698
-654,590,-372

--- scanner 5 ---
366,-674,-398
646,574,-495
810,-712,775
-776,-616,-664
709,499,-484
538,832,519
-851,-513,601
330,-736,-449
-832,-477,488
754,549,-531
534,-704,-421
589,756,371
-769,699,-884
742,-698,801
-608,351,427
616,920,401
-821,-527,-723
-149,-42,-32
-775,702,-638
-576,337,535
-750,-560,-579
-717,658,-756
632,-708,837
-18,44,105
-824,-294,581
-538,374,539

--- scanner 6 ---
-670,706,-858
342,376,641
405,-867,-344
-768,-540,-416
-591,518,863
-711,414,845
-776,-509,-579
281,-922,466
-464,-713,728
378,352,-541
288,342,-625
287,-929,-439
-757,-508,-659
-18,-130,-81
-577,685,-840
371,-842,552
-550,433,837
-523,-701,877
303,376,-402
247,-928,631
-659,-686,773
333,388,704
445,389,626
-433,677,-834
358,-840,-351

--- scanner 7 ---
-608,662,-491
-421,395,723
537,400,-654
-801,-707,334
-716,-378,-908
-606,481,-603
-691,-669,364
722,-794,-779
-712,-755,327
-551,-443,-872
-64,-119,-13
50,75,-130
590,472,837
655,-609,-741
-668,620,-642
-445,471,778
569,546,847
-428,456,512
595,496,721
733,-580,-773
563,421,-755
669,469,-660
-627,-498,-828
799,-779,496
860,-721,542
820,-593,474

--- scanner 8 ---
529,-663,-800
519,-548,-804
-429,-739,586
271,298,-446
-718,433,-595
505,549,874
562,-663,915
615,-599,-744
-729,576,-465
351,484,-448
-529,-792,673
305,358,-378
-68,-144,62
498,443,758
528,-676,921
-836,389,447
-828,282,496
-796,-643,-252
-491,-794,568
-652,604,-655
492,471,843
-653,-636,-220
460,-798,928
-941,313,563
-115,1,182
-609,-662,-266

--- scanner 9 ---
819,-614,-852
-394,-498,662
-568,774,-852
-488,737,-781
-672,-417,-703
-664,-337,-815
652,-627,-823
498,457,699
595,-492,407
-568,636,624
645,572,-483
575,387,738
47,-73,82
-546,514,691
697,-627,420
-442,625,-847
-356,-496,767
-671,-375,-696
460,335,665
745,655,-394
663,-614,414
865,584,-431
